X.1,X,collar_id,masterID,x_,y_,t_,temp_c,fate,sl_,speed,julian,week,avg.bc,NDVI,total_precipitation
31,X21819.1.31,21819.1,R02M,20.0846267,14.8855155,2017-01-22T12:00:09Z,19,mortality,0.00869988289863757,2.41328235745841e-6,22,4,4.5,1393,4.2840838e-8
32,X21819.1.32,21819.1,R02M,20.0843989,14.8942124,2017-01-22T13:00:14Z,22,mortality,6.21434228217695e-4,1.7147743604241e-7,22,4,4.5,1252,4.2840838e-8
33,X21819.1.33,21819.1,R02M,20.0849434,14.8939129,2017-01-22T14:00:38Z,29,mortality,8.09140735597323e-4,2.26650065993648e-7,22,4,4.5,1252,4.2840838e-8
34,X21819.1.34,21819.1,R02M,20.0841367,14.8938501,2017-01-22T15:00:08Z,35,mortality,8.15137399461662e-4,2.24432103376008e-7,22,4,4.5,1252,4.2840838e-8
35,X21819.1.35,21819.1,R02M,20.0844254,14.8930878,2017-01-22T16:00:40Z,35,mortality,0.00305504017976838,8.56473277198874e-7,22,4,4.5,1246,4.2840838e-8
36,X21819.1.36,21819.1,R02M,20.0826759,14.8905833,2017-01-22T17:00:07Z,37,mortality,0,0,22,4,4.5,1308,4.2840838e-8
37,X21819.1.37,21819.1,R02M,20.0826759,14.8905833,2017-01-22T18:00:39Z,37,mortality,5.31371809574107e-5,1.488019629163e-8,22,4,4.5,1308,0
38,X21819.1.38,21819.1,R02M,20.0826299,14.8906099,2017-01-22T19:00:10Z,38,mortality,4.44002252236575e-5,1.23333958954604e-8,22,4,4.5,1308,0
39,X21819.1.39,21819.1,R02M,20.0826712,14.8905936,2017-01-22T20:00:10Z,38,mortality,3.7911080173233e-5,1.04467016184164e-8,22,4,4.5,1308,0
40,X21819.1.40,21819.1,R02M,20.0826427,14.8906186,2017-01-22T21:00:39Z,37,mortality,0.00433164936023314,1.21232839637087e-6,22,4,4.5,1308,0
41,X21819.1.41,21819.1,R02M,20.0847334,14.8944123,2017-01-22T22:00:12Z,41,mortality,0.00193394912290628,5.33356073609013e-7,22,4,4.5,1252,0
42,X21819.1.42,21819.1,R02M,20.0864159,14.8953659,2017-01-22T23:00:38Z,38,mortality,0.00348975706461058,9.77796879969341e-7,22,4,4.5,1220,0
43,X21819.1.43,21819.1,R02M,20.089871,14.8948753,2017-01-23T00:00:07Z,28,mortality,4.22903984374625e-4,1.17408102269468e-7,22,4,4.5,1204,0
44,X21819.1.44,21819.1,R02M,20.0901903,14.8951526,2017-01-23T01:00:09Z,27,mortality,0.00404121103136139,1.12255861982261e-6,22,4,4.5,1204,0
45,X21819.1.45,21819.1,R02M,20.0878441,14.898443,2017-01-23T02:00:09Z,27,mortality,2.28737841200497e-5,6.30131793940763e-9,22,4,4.5,1264,0
46,X21819.1.46,21819.1,R02M,20.0878641,14.8984319,2017-01-23T03:00:39Z,25,mortality,3.12166622181248e-5,8.74661311799518e-9,22,4,4.5,1264,0
47,X21819.1.47,21819.1,R02M,20.0878403,14.8984117,2017-01-23T04:00:08Z,25,mortality,0.00208945596986242,5.80243257390285e-7,22,4,4.5,1264,0
48,X21819.1.48,21819.1,R02M,20.0859066,14.8992033,2017-01-23T05:00:09Z,25,mortality,0.00775416000931184,2.152737370714e-6,22,4,4.5,1295,0
49,X21819.1.49,21819.1,R02M,20.0921097,14.9038561,2017-01-23T06:00:11Z,25,mortality,0.00203698414328408,5.6146200200774e-7,23,4,4.5,1322,0
50,X21819.1.50,21819.1,R02M,20.0940515,14.9032407,2017-01-23T07:00:39Z,24,mortality,0,0,23,4,4.5,1402,0
51,X21819.1.51,21819.1,R02M,20.0940515,14.9032407,2017-01-23T08:00:09Z,22,mortality,1.75729906375869e-5,4.88274260560902e-9,23,4,4.5,1402,0
52,X21819.1.52,21819.1,R02M,20.094034,14.9032423,2017-01-23T09:00:08Z,21,mortality,3.02649962831623e-5,8.40227548116665e-9,23,4,4.5,1402,0
53,X21819.1.53,21819.1,R02M,20.0940626,14.9032522,2017-01-23T10:00:10Z,21,mortality,5.25166335553886e-4,1.44713787697406e-7,23,4,4.5,1402,0
54,X21819.1.54,21819.1,R02M,20.0943418,14.9028074,2017-01-23T11:00:39Z,21,mortality,0.00440060335067808,1.23266200299106e-6,23,4,4.5,1402,0
